sentence,label
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,neutral
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive
"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",positive
Short more $FAZ for all who don't know that means markets will tank now :-p,negative
"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",positive
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,positive
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,positive
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive
$CHRM Loooooongggggg base,positive
Tata Steel working with StanChart for UK unit sale - source,positive
$amzn breaking,positive
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",negative
Spain's CaixaBank Expects To Close Deal For Banco BPI,positive
FDA approves AstraZeneca drug for advanced lung cancer,positive
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative
"CompaniesNew Aggreko CEO to reshape business, strip costs",positive
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,positive
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",positive
Petrofac share price rises despite Â£30m costs on North Sea project,neutral
RBS will reportedly appoint Howard Davies as its next chairman,neutral
Royal Mail share price edges lower as group raises stamp price,negative
$EDU bouncing nicely after add-on (posted),positive
Entertainment One dispels ITV takeover rumours,neutral
$NUGT Gold above 1400...wow,positive
$BBRY nice bounce,positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive
BG Group appoints new CEO one month early,neutral
Diageo Shares Surge on Report of Possible Takeover by Lemann,positive
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive
$AAPL Good time to buy. Will the run come before earnings or after?,positive
Passengers rise at EasyJet and Aer Lingus,positive
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,positive
BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,positive
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative
"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",neutral
$GPS Gap September Comparable Store Sales -4%,negative
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative
$GALE Breakout Coming Soon!,positive
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,negative
InterContinental Hotels Group share price climbs on $1.5bn special dividend,positive
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative
AB InBev offers SABMiller $3 billion breakup fee,positive
Whitbread share price climbs on Q4 sales growth,positive
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",negative
Glencore slumps 30 percent as debt fears grow,negative
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC",negative
$ACAD under $2 today?,negative
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),positive
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,positive
"$FB trending nicely, intraday.",positive
Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative
$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,positive
$GPRO down 25% since Tue morning.,negative
BHP Billiton drags FTSE lower after slashing dividend,negative
StanChart and RBS struggle in Bank of England stress tests,negative
Dixons Carphone profit boost on strong sales,positive
Tesco share price closes higher as two more directors leave grocer,positive
$GOOGL is a short below 740 into the upper BB and is overbought,negative
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,positive
Companies Thetrainline.com announces arrival of London IPO,positive
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,positive
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",negative
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",negative
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,negative
"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",positive
$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,positive
$FB still a dog going much lower this week,negative
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,positive
"$INTC & $AAPL strong, tech leads DOW higher",positive
"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",negative
Investors Remain Skeptical About Shell-BG Deal,negative
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,positive
"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",negative
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,positive
$SIGA Bid for Reargument Denied by Judge,negative
"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive
Long $GPRO for a brealout trade,positive
$GNRC finding support at its 10-day line so far.,positive
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative
$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,positive
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,positive
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive
$TSLA weakest in todays DT watchlist,negative
End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,positive
CompaniesHoward Davies appointment as RBS director delayed,neutral
$FB gettin in the buy zone soon ;),positive
"$NFLX small pos, short 180 wkly puts.",negative
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,positive
$REN bottoming out again.. Good time to buy,positive
"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",positive
ITV share price: Group mulls takeover of Canada's Entertainment One,positive
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",negative
Glencore fight back over debt fears lifts shares,positive
Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,positive
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",negative
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative
what is up with $HK..... from Jan to now it's been a sinking ship...,negative
$DISH weakness continues again. 49.43 area resistance after last week,negative
GKN to buy Fokker Technologies for 706 mln euros,positive
Crown Castle buys Tower Development Corp for $461 million,positive
"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",positive
$AMZN long into earnings. looks good over 600,positive
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative
energy still failing to close above the 10D MA.  continues to stand out weak $XLE,negative
Persimmon share price climbs on 23% rise in full-year revenue,positive
Royal Dutch Shell profit rises; dividend up 4%,positive
Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,positive
$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,negative
Tesco sales rise shows tentative recovery continues,positive
HSBC appoints business leaders to board,positive
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",positive
"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",positive
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,positive
Petrofac books further Â£30m cost for Shetland gas terminal delays,negative
"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",positive
Tesco sells Blinkbox and broadband service to TalkTalk,positive
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,positive
$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,negative
$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,negative
$FB slight green... May be runner later,positive
$AAPL Dips being bought up real quick. Higher lows fo sho,positive
$SPY  still wants higher I think.,positive
"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",negative
$COST short finally making gains. I will take half my gains at 147,negative
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,positive
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,positive
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,negative
$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,positive
Glencore chief blames rivals' overproduction for share price fall,negative
$IBM staying strong,positive
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),negative
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",positive
$AAPL 620 resistance area,neutral
Australia clears AB Inbev's $100 billion SABMiller buyout plan,positive
Barclays appoints JPMorgan's Paul Compton as new COO,neutral
"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",positive
"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",positive
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,positive
"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",negative
Reed Elsevier share price slides on underwhelming full-year results,negative
"FDA approves NPS drug, in move validating Shire takeover deal",positive
Shell share price: Standard Life announce position against BG acquisition,neutral
"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",negative
$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,negative
"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",positive
$AAPL price momentum weakening going into the close.,negative
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive
Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,positive
$BAC in for swing trade  looks like want go up,positive
$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,positive
$PLUG bear raid,negative
Lloyds to cut 945 jobs as part of three-year restructuring strategy,negative
Spain's Caixabank launches new takeover bid for Banco BPI,positive
long $SDLP $CPGX $TWTR $BITA $LABU $FB $TSLA $ETE $SDRL  Autocharts @ https://t.co/nxLx1ES7nY,positive
"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",positive
"Tesco set to sell Kipa, Giraffe businesses - Sky News",positive
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",negative
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,positive
UPDATE 1-Pearson expects to grow this year after solid end to 2014,positive
$BBRY Ready for Take OFF!,positive
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive
"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",positive
"$CNDO 21% short float, shorts likely to take profits into close",negative
BG Group Still Happy With Shell's $70 Billion Offer,positive
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive
$FB bot some @78.47 breakout from the consolidation zone :D,positive
"Buffett's Berkshire builds Deere stake, dumps Exxon",negative
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",negative
AB InBev ups offer for SABMiller as deadline looms,positive
$RNN More bleeding Monday.,negative
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,positive
$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,positive
$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,neutral
$AMCN pushing highs,positive
$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,positive
NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,negative
Royal Mail chairman Donald Brydon set to step down,negative
"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",positive
Chime Communications Set To Be Acquired By WPP And Providence,positive
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",positive
AstraZeneca to Buy ZS Pharma for $2.7 Billion,positive
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,negative
$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,positive
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative
volatility squeeze in $AAPL. I hope it gets resolved to the upside,neutral
$IBIO  up 10% in premarket ready for lift off,positive
$RAD All my charts are flashing oversold.,neutral
$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,positive
Anheuser-Busch InBev Increases Offer for Rival SABMiller,positive
$MA http://stks.co/1CYN continues to consolidate / base here,positive
Retailers Kingfisher and Sports Direct rise in Britain's share index,positive
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,negative
Primark racks up a happy Christmas after strong sales,positive
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,positive
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative
SABMiller revenue hit by weaker EM currencies,negative
AB InBev to Sell SABMiller Stake in China's Snow Beer,neutral
Look at that $AMZN > 600,positive
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive
pretty steady accumulation off support today.  Purdy. $AGU,positive
"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",negative
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
"$RNN day traders flushed out, it should start going up slowly from now on .",positive
Tesco sales recover as focus returns to core business,positive
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),negative
$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,negative
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,positive
$RNN staying above the open a very good sign!!!,positive
$SPY c'mon bulls buy DIPS!,positive
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative
$GTAT Will re-enter short on bounce...,negative
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive
"$WFM Bought a little yesterday, hoping for an earnings pop.",positive
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,positive
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,negative
$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,negative
$DARA breaking out,positive
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,positive
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",negative
"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",positive
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,positive
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",negative
AstraZeneca suffers setback after drug fails to treat eye cancer,negative
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive
Whitbread buys 49% stake in Pure food chain,positive
$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,negative
Shell challenges Exxon dominance with 47 billion-pound bid for BG,negative
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",neutral
$INVE : SEE YA ABOVE $8,positive
$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,positive
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,positive
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,positive
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",positive
$SPY weak close,negative
$AAPL short some 592.49,negative
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative
@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,positive
"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",positive
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,negative
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,positive
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,positive
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),positive
"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE",negative
"Rio Tinto swings to loss, drops dividend policy",negative
Severn Trent share price jumps as Canadian investor renews pursuit of utility,positive
Standard Chartered Not Raising Capital Yet As Dividend Cut,negative
$NVDA sideways,neutral
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,positive
Bought some more $CELG as it is ready for a bounce.,positive
G4S slides on balance sheet worries,negative
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive
"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",positive
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,positive
$NEON oversold,positive
RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,neutral
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",negative
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",negative
$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,positive
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative
CORRECTED-Shire to buy Dyax for about $5.9 bln,positive
Intertek Group announces strategic update outlining its plan,neutral
Standard Chartered lags on capital worries,negative
$MXWL Oh snap. Just went long again. LT,positive
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive
Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,positive
Borealis Infrastructure putting together new Severn Trent bid,positive
$IWM same conditions that sent markets to tumble all hitting this week,negative
Builder Persimmon hails 6% rise in house sales,positive
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,positive
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,positive
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,positive
CompaniesActelion shares hit record on Shire takeover talk,positive
$YELP This goes green and so many shorts are toast!,positive
"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",negative
$AMD big dumping... would not touch it for a while,negative
Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,neutral
"Buffett's Berkshire builds Deere stake, dumps Exxon",positive
$AAPL Nice RSI 33 bounce at 9:58,positive
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,positive
"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ",negative
$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,positive
$DCTH Near HOD,positive
TalkTalk hires BAE Systems to investigate cyber attack,negative
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative
"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",positive
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative
Should You Follow Berkshire Hathaway Into Apple Stock?,neutral
Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,neutral
France raises concerns over proposed LSE-Deutsche Boerse deal,negative
