sentence,label,NLTK,finbert,deepseek,openai,finma-7b-nlp,fingpt-mt_llama2-7b_lora,fingpt-sentiment_llama2-13b_lora
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,positive,neutral,neutral,Positive, neutral, neutral, neutral
All are welcome .,neutral,positive,neutral,neutral,Positive, neutral, neutral, neutral
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,positive,positive,neutral,Neutral, neutral, neutral, neutral
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,positive,positive,positive,Positive, positive, positive, positive
- Profit before taxes was EUR 105.9 82.7 million .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,neural,neutral,neutral,Positive, positive, positive, positive
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,negative,neutral,neutral,Neutral, neutral, neutral, neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,neural,positive,neutral,Positive,2.5, neutral, positive
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,positive,neutral,positive,Positive, neutral, neutral, neutral
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,negative,negative,negative,Negative, negative, negative, negative
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,positive,neutral,negative,Negative, negative, negative, negative
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,negative,negative,neutral,Neutral, negative, negative, negative
InterContinental Hotels first-quarter global room revenue lags estimates,negative,negative,negative,negative,Negative, negative, negative, negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,positive,neutral,neutral,Neutral, positive, neutral, positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,positive,neutral,positive,Neutral, positive, positive, positive
"L&G still paying price for dividend cut during crisis, chief says",negative,negative,positive,negative,Negative, negative, negative, negative
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,neural,neutral,neutral,Neutral,19.5, neutral, neutral
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,positive,positive,positive,Positive, positive, positive, positive
Profit of the accounting period was EUR 0.3 mn .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,positive,positive,positive,Positive, positive, positive, positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,neural,positive,positive,Positive,9.1, positive, positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,positive,positive,positive,Positive, positive, positive, positive
Tesco share price jumps as Q3 sales top estimates,positive,positive,negative,positive,Positive, positive, positive, positive
The fine print is here .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,positive,positive,positive,Positive, positive, positive, positive
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,positive,negative,negative,Negative, negative, negative, negative
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,negative,neutral,neutral,Neutral,1081, neutral, neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,neural,positive,neutral,Positive,1. positive, positive, positive
The firm generated sales of 187 mln eur in 2005 .,neutral,negative,neutral,neutral,Neutral, neutral, neutral, neutral
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
AstraZeneca profit down as sales of stalwarts fade,negative,positive,negative,negative,Negative, negative, negative, negative
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,negative,neutral,neutral,Positive, positive, positive, positive
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,neural,neutral,positive,Positive, positive, positive, positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,neural,negative,negative,Negative, negative, negative, negative
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,neural,positive,positive,Positive, positive, positive, positive
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,negative,negative,negative,Negative, negative, negative, negative
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,positive,neutral,neutral,Neutral,0.51, neutral, neutral
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,positive,negative,negative,Negative,"152,", negative, negative
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,negative,negative,negative,Negative, negative, negative, negative
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,positive,negative,negative,Negative, negative, negative, negative
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,positive,positive,positive,Positive,4.6, positive, positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,positive,negative,negative,Negative,53.9, negative, negative
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,positive,positive,positive,Positive, positive, positive, positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,neural,negative,negative,Negative, negative, negative, negative
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,positive,positive,positive,Positive, positive, positive, positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,positive,negative,negative,Negative,2.76, negative, negative
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,negative,negative,negative,Negative, negative, negative, negative
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,positive,positive,positive,Positive, neutral, positive, positive
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,neural,negative,neutral,Negative, neutral, neutral, neutral
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,neural,neutral,neutral,Neutral,2.0, neutral, neutral
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,positive,positive,neutral,Neutral, positive, neutral, neutral
$YANG Double bottom 5.2,positive,neural,neutral,Neutral,Neutral, positive, positive, positive
Tesco share price down as grocer faces SFO investigation outcome,negative,positive,negative,negative,Negative, negative, negative, negative
$aapl news is becoming very bullish again http://stks.co/tMU,positive,neural,neutral,positive,Positive, positive, positive, positive
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,negative,neutral,neutral,Neutral, neutral, neutral, neutral
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,negative,positive,neutral,Neutral, positive, neutral, neutral
$TSLA recall,negative,neural,neutral,neutral,Negative, negative, negative, negative
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,neural,negative,neutral,Negative, negative, negative, negative
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,negative,positive,positive,Positive, positive, positive, positive
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,negative,negative,neutral,Negative, negative, negative, negative
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,positive,negative,negative,Negative, negative, negative, negative
The value of the orders is over EUR 10mn .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
Aberdeen Asset Management Gains Foothold In China,positive,positive,positive,positive,Positive, positive, positive, positive
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,negative,neutral,neutral,Neutral, neutral, neutral, neutral
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,neural,negative,neutral,Neutral, neutral, neutral, negative
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,neural,negative,neutral,Negative,0.6, negative, negative
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,neural,neutral,neutral,Positive, neutral, neutral, neutral
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,positive,neutral,neutral,Positive, neutral, neutral, neutral
$GOOGL is a short below 740 into the upper BB and is overbought,negative,neural,negative,neutral,Negative, negative, negative, negative
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,positive,neutral,neutral,Positive, neutral, neutral, neutral
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,negative,negative,negative,Negative, negative, negative, negative
The total value of the contract is some EUR 8 million .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,positive,neutral,Neutral,Neutral, neutral, neutral, neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,positive,positive,positive,Positive, positive, positive, positive
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,neural,negative,neutral,Neutral, neutral, neutral, neutral
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,positive,positive,Positive,4.31, positive, positive
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,negative,neutral,neutral,Neutral, neutral, neutral, neutral
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,positive,positive,positive,Positive, positive, positive, positive
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,neural,negative,negative,Negative,0.87, negative, negative
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,neural,neutral,neutral,neutral, positive, positive, positive
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,neural,negative,negative,Negative, negative, negative, negative
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,positive,positive,positive,Positive, positive, positive, positive
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,positive,positive,neutral,Positive, neutral, positive, positive
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,neural,negative,negative,Negative, negative, negative, negative
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,neural,neutral,neutral,Neutral, positive, positive, positive
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,positive,positive,positive,Positive, positive, positive, positive
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,positive,neutral,positive,Positive, positive, positive, positive
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,positive,positive,positive,Positive, positive, positive, positive
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,positive,negative,neutral,Negative, negative, negative, negative
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
The plant is expected to enter commercial operation by mid-2009 .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
BG Group appoints new CEO one month early,neutral,neural,neutral,neutral,Positive, neutral, neutral, neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,positive,positive,positive,Positive, positive, positive, positive
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,positive,negative,negative,Negative, negative, negative, negative
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,positive,neutral,neutral,Positive, positive, positive, positive
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,neural,positive,positive,Neutral, positive, neutral, positive
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,positive,neutral,neutral,Positive,2. positive, neutral, neutral
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,positive,positive,positive,Positive,1 positive, positive, positive
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,neural,neutral,positive,Positive, positive, positive, positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,neural,negative,negative,Negative,2.0, negative, negative
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,neural,positive,positive,Positive, positive, positive, positive
$VMW  Got a nice push today following small sweepers of May C this morning,positive,positive,positive,positive,Positive, positive, positive, positive
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,positive,positive,positive,Positive, positive, positive, positive
R&D Loan ) .,neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,neural,positive,neutral,Neutral, positive, neutral, neutral
"You need to be ready when the window opens up , Rosberg said .",neutral,positive,neutral,neutral,Neutral, neutral, neutral, neutral
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,negative,neutral,neutral,Neutral, neutral, neutral, neutral
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,positive,neutral,positive,Positive, positive, positive, positive
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,neural,negative,negative,Negative,27.5, negative, negative
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,negative,negative,negative,Negative, negative, negative, negative
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,negative,neutral,neutral,Positive, neutral, neutral, neutral
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,neural,neutral,neutral,Negative, negative, negative, negative
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,positive,positive,Positive, positive, positive, positive
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,negative,negative,negative,Negative, neutral, negative, negative
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,positive,neutral,positive,Positive, positive, positive, positive
The solution will now be expanded to include all ground staff tasks .,neutral,positive,neutral,neutral,Positive, neutral, neutral, neutral
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,positive,negative,negative,Negative,4.8, negative, negative
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,neural,negative,neutral,Positive, positive, positive, positive
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,neural,positive,positive,Positive, positive, positive, positive
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,negative,negative,neutral,Neutral, positive, neutral, neutral
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,positive,positive,positive,Positive, positive, positive, positive
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,positive,positive,positive,Positive, positive, positive, positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,neural,neutral,neutral,Neutral, positive, neutral, positive
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,positive,positive,positive,Positive, positive, positive, positive
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,neural,positive,neutral,Neutral, neutral, neutral, neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,neural,neutral,neutral,Neutral, neutral, neutral, neutral
